IQ,AlcConsumption,Group
114.1,0.72,A
113.7,0.69,A
118.7,0.44,A
121.2,0.41,A
120.4,0.43,A
115.1,0.44,A
115.4,0.59,A
116.3,0.6,A
115.9,0.56,A
116.1,0.55,A
116,0.57,A
115.6,0.52,A
115.4,0.56,A
117.1,0.67,A
116.8,0.64,A
116.5,0.66,A
115.5,0.55,A
114.5,0.55,A
113.4,0.61,A
112.8,0.77,A
115.8,0.61,A
114.5,0.61,A
116.5,0.7,A
112.6,0.73,A
111.9,0.66,A
115.6,0.41,A
115.3,0.56,A
113.5,0.58,A
119.5,0.62,A
114.5,0.54,A
113.3,0.51,A
113.5,0.41,A
119.3,0.59,A
116.2,0.51,A
117.2,0.29,A
115.9,0.62,A
114.8,0.67,A
113.2,0.68,A
112.5,0.72,A
111.7,0.73,A
112.7,0.83,A
113,0.75,A
112.3,0.64,A
108.6,0.65,A
115.2,0.53,A
117.6,0.46,A
117,0.51,A
115.4,0.56,A
113.9,0.63,A
112.7,0.65,A
112.2,0.73,A
111.8,0.63,A
109.6,0.66,A
112.3,0.69,A
111.5,0.83,A
113.8,0.52,A
118.8,0.68,A
112.9,0.7,A
109.6,0.61,A
112.8,0.29,A
113.8,0.59,A
112.9,0.64,A
113.5,0.62,A
112,0.62,A
111.5,0.67,A
111.1,0.73,A
109.7,0.71,A
110.4,0.72,A
111,0.65,A
109.5,0.51,A
113.6,0.52,A
117.9,0.62,A
113.6,0.67,A
112.4,0.55,A
112.3,0.46,A
112,0.49,A
112.3,0.55,A
112.9,0.45,A
112.9,0.54,A
112.2,0.58,A
112.5,0.65,A
109.2,0.69,A
110,0.48,A
115.7,0.2,A
113,0.48,A
111.5,0.67,A
111.8,0.57,A
110.9,0.63,A
109.5,0.56,A
108.2,0.53,A
109.7,0.54,A
109.8,0.59,A
108.9,0.59,A
113.2,0.66,A
119.9,0.51,A
114.9,0.62,A
113.7,0.47,A
114.3,0.43,A
115.3,0.66,A
115,0.5,A
111.5,0.66,A
113.9,0.26,A
117.8,0.52,A
111.4,0.59,A
109.2,0.61,A
110.6,0.55,A
108.3,0.69,A
110.4,0.62,A
110.6,0.74,A
110.3,0.63,A
111.2,0.66,A
111.6,0.62,A
110.5,0.68,A
108.7,0.55,A
106,0.59,A
101.9,0.69,A
109.3,0.61,A
109.2,0.71,A
109,0.66,A
110.1,0.43,A
105.4,0.46,A
110.5,0.63,A
107.1,0.7,A
105.4,0.71,A
104.4,0.7,A
107.6,0.64,A
105.7,0.68,A
109.7,0.42,A
107.4,0.59,A
106.2,0.59,A
115.2,0.57,A
109.6,0.43,A
109.1,0.37,A
109.2,0.44,A
107.4,0.61,A
107.7,0.57,A
107.5,0.52,A
109,0.66,A
106.9,0.63,A
105,0.66,A
107.6,0.52,A
106.8,0.49,A
107.8,0.45,A
110.8,0.59,A
106.7,0.52,A
105.7,0.58,A
105.9,0.67,A
100.5,0.58,A
105.3,0.51,A
102.9,0.7,A
103.6,0.74,A
106.2,0.59,A
107.8,0.72,A
108.3,0.64,A
108,0.72,A
107.3,0.56,A
105.5,0.54,A
104.3,0.6,A
103.3,0.59,A
103.3,0.75,A
104.9,0.6,A
105.5,0.77,A
104.3,0.7,A
104.2,0.69,A
104,0.54,A
104,0.69,A
106.7,0.63,A
108,0.69,A
104.5,0.67,A
104.1,0.68,A
104,0.61,A
104,0.61,A
102,0.67,A
100.4,0.62,A
100.9,0.7,A
99.4,0.4,A
106.9,0.54,A
104.8,0.58,A
102.2,0.53,A
106.5,0.65,A
104.6,0.73,A
102,0.74,A
103.5,0.71,A
103.4,0.66,A
103.1,0.66,A
104.4,0.67,A
104.5,0.67,A
103,0.65,A
107.1,0.55,A
105.7,0.69,A
103.1,0.57,A
102.4,0.57,A
102.2,0.61,A
102.1,0.6,A
100.2,0.62,A
99.6,0.56,A
99.4,0.76,A
104.7,0.67,A
106.9,0.64,A
105.5,0.66,A
100.9,0.47,B
99.2,0.51,B
95.5,0.49,B
95.3,0.59,B
99,0.44,B
97.9,0.37,B
108.2,0.44,B
105.7,0.42,B
103.9,0.33,B
103.2,0.46,B
102.2,0.5,B
99.3,0.4,B
98.8,0.41,B
93.6,0.6,B
93.1,0.47,B
93.2,0.62,B
97.4,0.55,B
99,0.38,B
98.1,0.59,B
99.9,0.44,B
99.1,0.45,B
99.8,0.5,B
97.7,0.7,B
91.6,0.65,B
94.5,0.53,B
98.5,0.44,B
98.1,0.48,B
97.2,0.47,B
98.6,0.46,B
97.8,0.41,B
97.6,0.49,B
95.1,0.7,B
92.9,0.65,B
92.6,0.64,B
92.8,0.55,B
100.4,0.5,B
94,0.54,B
97.7,0.53,B
96.3,0.52,B
95.6,0.48,B
98.7,0.49,B
99.6,0.57,B
99.5,0.5,B
99.8,0.49,B
97.7,0.54,B
99.5,0.49,B
97.2,0.6,B
96.5,0.39,B
99.2,0.36,B
102.5,0.46,B
106,0.38,B
100,0.39,B
98.4,0.47,B
94.3,0.6,B
96.2,0.66,B
97.4,0.49,B
97.9,0.58,B
97.4,0.62,B
98.9,0.51,B
101.7,0.43,B
100.2,0.46,B
98.5,0.29,B
100.1,0.46,B
103.3,0.47,B
105.1,0.28,B
