Year,Month,Day,Brisbane,GoldCoast
2015,1,1,31.3,30.9
2015,1,2,30.5,30.1
2015,1,3,28.9,30.1
2015,1,4,30.2,30.1
2015,1,5,28.1,28
2015,1,6,29.5,29.3
2015,1,7,27.1,26.4
2015,1,8,28.4,27.7
2015,1,9,29.5,29.6
2015,1,10,30.2,29.5
2015,1,11,28.2,28
2015,1,12,30.4,29.1
2015,1,13,28.4,27.2
2015,1,14,30.3,29.4
2015,1,15,36,36.5
2015,1,16,32.5,30.9
2015,1,17,35.3,31.6
2015,1,18,36.7,32.2
2015,1,19,31.8,30.8
2015,1,20,29.2,27.9
2015,1,21,30,30.2
2015,1,22,28.6,28.9
2015,1,23,24.8,25.7
2015,1,24,30.8,29.4
2015,1,25,36.7,33.4
2015,1,26,33.1,30.8
2015,1,27,30.2,30.3
2015,1,28,28.1,27.9
2015,1,29,28.9,29.4
2015,1,30,29,28.8
2015,1,31,31.8,31.5
2015,2,1,34.4,30
2015,2,2,29.6,26.9
2015,2,3,29.1,28.5
2015,2,4,28.6,28.2
2015,2,5,29.2,28.9
2015,2,6,28.3,27.8
2015,2,7,29.3,28.8
2015,2,8,29.9,29.2
2015,2,9,30.3,30.2
2015,2,10,29,28.2
2015,2,11,28.9,29.2
2015,2,12,28.9,29.7
2015,2,13,29.6,28.2
2015,2,14,29,29.6
2015,2,15,28.8,29
2015,2,16,29.4,29
2015,2,17,29.1,29.2
2015,2,18,29.2,29.5
2015,2,19,26.8,25.8
2015,2,20,22.6,24.5
2015,2,21,27.3,24.4
2015,2,22,31.4,27.1
2015,2,23,30.6,28
2015,2,24,30.8,28.2
2015,2,25,29.8,28.7
2015,2,26,29.8,29.3
2015,2,27,30.2,29.8
2015,2,28,30.1,28.9
2015,3,1,31.3,29.6
2015,3,2,31.6,30.4
2015,3,3,30.6,29.7
2015,3,4,30.5,29.4
2015,3,5,36.1,35.7
2015,3,6,28.6,29.4
2015,3,7,30.2,30.3
2015,3,8,30.9,30.4
2015,3,9,31.6,30.9
2015,3,10,30.6,31.3
2015,3,11,30.1,30.3
2015,3,12,29.9,30
2015,3,13,29.5,30
2015,3,14,28.8,28.7
2015,3,15,32.3,28.7
2015,3,16,28.5,29.4
2015,3,17,28.8,28.4
2015,3,18,28.9,27.7
2015,3,19,33.5,32.7
2015,3,20,32.4,30.5
2015,3,21,30.3,30.1
2015,3,22,26.3,27
2015,3,23,28.3,27
2015,3,24,30.5,29.7
2015,3,25,31.7,31.4
2015,3,26,30.7,30.4
2015,3,27,31.1,29.4
2015,3,28,28.5,28.7
2015,3,29,28.5,28.3
2015,3,30,28.1,28.2
2015,3,31,26.1,27.1
2015,4,1,24.8,25.9
2015,4,2,26.7,27
2015,4,3,27.7,28.3
2015,4,4,28.5,27.5
2015,4,5,28.5,29.4
2015,4,6,28.45,29.4
2015,4,7,28.4,27.9
2015,4,8,26.5,26.8
2015,4,9,26.9,26.9
2015,4,10,27.2,26.7
2015,4,11,26.5,26.8
2015,4,12,28.7,27.4
2015,4,13,27,27
2015,4,14,26.6,27.8
2015,4,15,26.3,27.4
2015,4,16,28.2,27.2
2015,4,17,28,27.9
2015,4,18,27.7,28.9
2015,4,19,29,28.9
2015,4,20,21.3,22.1
2015,4,21,21.3,22.5
2015,4,22,23.8,24.4
2015,4,23,25.7,24.7
2015,4,24,28.3,27.8
2015,4,25,29.4,28.7
2015,4,26,23.4,24.2
2015,4,27,25.2,25
